project, status, reproducibleVariants, nonReproducibleVariants, stars
django-singleton-model, Fully Reproducible, ['all'], [], -1
blackduck, Fully Reproducible, ['all'], [], -1
mdt, Fully Reproducible, ['all'], [], -1
django-url-shortening, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
backports-functools-partialmethod, Fully Reproducible, ['all'], [], -1
runipy, Fully Reproducible, ['all'], [], -1
py-zipkin, Fully Reproducible, ['all'], [], -1
githubrelease, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
pystoi, Fully Reproducible, ['all'], [], -1
csinsc, Fully Reproducible, ['all'], [], -1
karapy, Fully Reproducible, ['all'], [], -1
pybase64, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
cs-portlet-aemet, Fully Reproducible, ['all'], [], -1
blockchain-parser, Fully Reproducible, ['all'], [], -1
libscrc, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], -1
pynwb, Fully Reproducible, ['all'], [], -1
sc2gamelobby, Fully Reproducible, ['all'], [], -1
py-ultroid, Fully Reproducible, ['all'], [], -1
django-log-request-id, Fully Reproducible, ['all'], [], -1
tensorflow-privacy, Fully Reproducible, ['all'], [], -1
expression-parser, Fully Reproducible, ['all'], [], -1
openerz-api, Fully Reproducible, ['all'], [], -1
atlassian-jwt-auth, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'; 'umask'], ['time'], -1
drf-typed-views, Fully Reproducible, ['all'], [], -1
pytest-circleci, Fully Reproducible, ['all'], [], -1
language-tags, Fully Reproducible, ['all'], [], -1
hammock, Fully Reproducible, ['all'], [], -1
pyhash, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
vf-portalytics, Fully Reproducible, ['all'], [], -1
oemthermostat, Fully Reproducible, ['all'], [], -1
discord-buttons, Fully Reproducible, ['all'], [], -1
approvaltests, Fully Reproducible, ['all'], [], -1
sslyze, Fully Reproducible, ['all'], [], -1
pysupercluster, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], -1
keras-transformer, Fully Reproducible, ['all'], [], -1
google-cloud-bigtable, Fully Reproducible, ['all'], [], -1
python-rake, Fully Reproducible, ['all'], [], -1
django-readonly-field, Fully Reproducible, ['all'], [], -1
brottsplatskartan, Fully Reproducible, ['all'], [], -1
binary, Fully Reproducible, ['all'], [], -1
zookeeper, Fully Reproducible, ['all'], [], 22
word2vec, Fully Reproducible, ['all'], [], 2509
webrtcvad, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], 1684
vk-api, Fully Reproducible, ['all'], [], 1274
validx, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], 16
urlextract, Fully Reproducible, ['all'], [], 212
ulid2, Fully Reproducible, ['all'], [], 31
twitterapi, Fully Reproducible, ['all'], [], 916
trio-asyncio, Fully Reproducible, ['all'], [], 166
tox-travis, Fully Reproducible, ['all'], [], 205
tfhelper, Fully Reproducible, ['all'], [], 2
textgenrnn, Fully Reproducible, ['all'], [], 4916
tencentcloud-sdk-python-tsw, Fully Reproducible, ['all'], [], 534
tencentcloud-sdk-python-tem, Fully Reproducible, ['all'], [], 534
tencentcloud-sdk-python-taf, Fully Reproducible, ['all'], [], 534
