project, status, reproducibleVariants, nonReproducibleVariants, stars
txaws, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'exec_path'], ['build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], -1
types-protobuf, Not Reproducible, ['user_group.available+=builduser:builduser'; 'locales'; 'exec_path'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'time'; 'timezone'; 'umask'], -1
tzdata, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
utlz, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'exec_path'; 'timezone'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'umask'], -1
warrant, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'exec_path'], ['build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], -1
wavelink, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
websockify, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'locales'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
xmpppy, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'home'; 'locales'; 'time'; 'umask'], -1
yalesmartalarmclient, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
yawsso, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
zope-securitypolicy, Not Reproducible, ['user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'], ['environment'; 'build_path'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
ai, Fully Reproducible, ['all'], [], 20
aiohttp-json-api, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'; 'timezone'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'umask'], 18
articledateextractor, Not Reproducible, ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 115
astral, Fully Reproducible, ['all'], [], 192
av, Fully Reproducible, ['all'], [], 1922
aws-cdk-aws-cloud9, Fully Reproducible, ['all'], [], 10401
awscli-plugin-endpoint, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 197
awscliv2, Fully Reproducible, ['all'], [], 0
awslimitchecker, Not Reproducible, ['user_group.available+=builduser:builduser'; 'kernel'; 'timezone'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'locales'; 'exec_path'; 'time'; 'umask'], 513
azure, Fully Reproducible, ['all'], [], 3755
azure-cli-backup, Fully Reproducible, ['all'], [], 3624
