project, status, reproducibleVariants, nonReproducibleVariants, stars
through, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 669
camelcase, Fully Reproducible, ['all'], [], 632
escape-string-regexp, Fully Reproducible, ['all'], [], 552
npmlog, Fully Reproducible, ['all'], [], 420
extend, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 341
which, Fully Reproducible, ['all'], [], 297
minimist, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 149
eslint-plugin-standard, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 123
create-react-class, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 210803
react-dom, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 210803
react-error-overlay, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 100405
lodash.defaults, Fully Reproducible, ['all'], [], 56815
lodash.uniq, Fully Reproducible, ['all'], [], 56815
lodash.memoize, Fully Reproducible, ['all'], [], 56815
lodash.sortby, Fully Reproducible, ['all'], [], 56815
lodash.keys, Fully Reproducible, ['all'], [], 56815
lodash.template, Fully Reproducible, ['all'], [], 56815
lodash.isplainobject, Fully Reproducible, ['all'], [], 56815
lodash.isarray, Fully Reproducible, ['all'], [], 56815
lodash.assign, Fully Reproducible, ['all'], [], 56815
gatsby, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 54632
gatsby-plugin-react-helmet, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 54632
gatsby-plugin-manifest, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 54632
