project, status, reproducibleVariants, nonReproducibleVariants, stars
signal-hook, Fully Reproducible, ['all'], [], 599
directories, Fully Reproducible, ['all'], [], 535
indoc, Fully Reproducible, ['all'], [], 506
ryu, Fully Reproducible, ['all'], [], 478
digest, Fully Reproducible, ['all'], [], 470
pin-project, Fully Reproducible, ['all'], [], 435
pretty_env_logger, Fully Reproducible, ['all'], [], 425
generic-array, Fully Reproducible, ['all'], [], 359
termcolor, Fully Reproducible, ['all'], [], 353
heck, Fully Reproducible, ['all'], [], 343
zeroize, Fully Reproducible, ['all'], [], 336
scopeguard, Fully Reproducible, ['all'], [], 325
fnv, Fully Reproducible, ['all'], [], 212
subtle, Fully Reproducible, ['all'], [], 203
ordered-float, Fully Reproducible, ['all'], [], 153
mime, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 143
hex, Fully Reproducible, ['all'], [], 137
which, Fully Reproducible, ['all'], [], 129
data-encoding, Not Reproducible, [], [], 115
tokio-stream, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-tls, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-util, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
rocket, Not Reproducible, [], [], 20438
actix-http, Partially Reproducible, ['home'], ['fileordering'; 'locales'; 'time'; 'timezone'; 'umask'], 16822
warp, Fully Reproducible, ['all'], [], 8212
tonic, Not Reproducible, [], [], 7333
crossbeam-epoch, Fully Reproducible, ['all'], [], 6217
futures-executor, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
futures-io, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
futures-sink, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
futures-task, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
futures-channel, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
regex-syntax, Fully Reproducible, ['all'], [], 2975
prost, Fully Reproducible, ['all'], [], 2834
dashmap, Fully Reproducible, ['all'], [], 2291
nix, Fully Reproducible, ['all'], [], 2194
rusqlite, Fully Reproducible, ['all'], [], 2196
crossterm, Fully Reproducible, ['all'], [], 2193
petgraph, Fully Reproducible, ['all'], [], 2134
pulldown-cmark, Fully Reproducible, ['all'], [], 1611
quickcheck, Fully Reproducible, ['all'], [], 1575
git2, Not Reproducible, [], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1369
rand_distr, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 1360
sha-1, Fully Reproducible, ['all'], [], 1336
sha1, Fully Reproducible, ['all'], [], 1336
sha3, Fully Reproducible, ['all'], [], 1336
proptest, Fully Reproducible, ['all'], [], 1333
embedded-hal, Not Reproducible, [], [], 1280
strum_macros, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 1190
idna, Fully Reproducible, ['all'], [], 1043
bumpalo, Fully Reproducible, ['all'], [], 1031
dialoguer, Fully Reproducible, ['all'], [], 971
rust_decimal, Fully Reproducible, ['all'], [], 770
core-foundation-sys, Not Reproducible, [], [], 770
darling, Fully Reproducible, ['all'], [], 766
fern, Fully Reproducible, ['all'], [], 726
console, Fully Reproducible, ['all'], [], 698
ahash, Fully Reproducible, ['all'], [], 670
bstr, Fully Reproducible, ['all'], [], 665
ed25519-dalek, Fully Reproducible, ['all'], [], 619
trybuild, Fully Reproducible, ['all'], [], 613
zip, Fully Reproducible, ['all'], [], 610
aes, Fully Reproducible, ['all'], [], 552
tar, Fully Reproducible, ['all'], [], 529
yaml-rust, Fully Reproducible, ['all'], [], 485
httparse, Fully Reproducible, ['all'], [], 455
serde_with, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 453
arc-swap, Fully Reproducible, ['all'], [], 457
bytemuck, Fully Reproducible, ['all'], [], 393
zstd, Not Reproducible, [], [], 382
native-tls, Fully Reproducible, ['all'], [], 377
assert_cmd, Fully Reproducible, ['all'], [], 363
hex-literal, Fully Reproducible, ['all'], [], 336
quick-error, Fully Reproducible, ['all'], [], 290
humantime, Fully Reproducible, ['all'], [], 250
itoa, Fully Reproducible, ['all'], [], 236
ansi_term, Fully Reproducible, ['all'], [], 234
getrandom, Fully Reproducible, ['all'], [], 230
cmake, Fully Reproducible, ['all'], [], 227
thread_local, Fully Reproducible, ['all'], [], 211
parity-scale-codec, Fully Reproducible, ['all'], [], 211
rpassword, Fully Reproducible, ['all'], [], 188
maplit, Fully Reproducible, ['all'], [], 174
rustc-serialize, Not Reproducible, [], [], 168
fs_extra, Fully Reproducible, ['all'], [], 166
unicode-width, Fully Reproducible, ['all'], [], 163
strsim, Fully Reproducible, ['all'], [], 160
num-derive, Fully Reproducible, ['all'], [], 140
approx, Fully Reproducible, ['all'], [], 139
num-integer, Fully Reproducible, ['all'], [], 137
cargo_metadata, Fully Reproducible, ['all'], [], 134
pkg-config, Fully Reproducible, ['all'], [], 119
dtoa, Fully Reproducible, ['all'], [], 106
mime_guess, Fully Reproducible, ['all'], [], 75
arrayref, Fully Reproducible, ['all'], [], 67
autocfg, Fully Reproducible, ['all'], [], 49
rustc_version, Fully Reproducible, ['all'], [], 45
yew, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 27667
tokio-test, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-threadpool, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-tcp, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-sync, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-executor, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-timer, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-reactor, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-uds, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-macros, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
tokio-codec, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
actix-web-actors, Not Reproducible, [], ['environment'; 'kernel'; 'time'; 'umask'], 16822
awc, Not Reproducible, [], ['exec_path'; 'time'; 'umask'], 16822
cranelift-entity, Not Reproducible, [], [], 12669
clap_derive, Fully Reproducible, ['all'], [], 11656
