projectName,URL,slug
ert-storage,https://github.com/equinor/ert-storage,equinor/ert-storage
es-pandas,https://github.com/fuyb1992/es_pandas,fuyb1992/es_pandas
es2csv,https://github.com/taraslayshchuk/es2csv,taraslayshchuk/es2csv
escapetheforest,https://github.com/pypa/sampleproject,pypa/sampleproject
escapism,https://github.com/minrk/escapism,minrk/escapism
esda,https://github.com/pysal/esda,pysal/esda
esdrt-content,https://github.com/eea/esdrt.content/,eea/esdrt.content
esphome,https://github.com/esphome/esphome,esphome/esphome
esphome-dashboard,https://github.com/esphome/dashboard,esphome/dashboard
espiownage,https://github.com/drscotthawley/espiownage/tree/master/,drscotthawley/espiownage
esprima,https://github.com/Kronuz/esprima-python,Kronuz/esprima-python
esptool,https://github.com/espressif/esptool,espressif/esptool
espwrap,https://github.com/SpotOnInc/espwrap,SpotOnInc/espwrap
esrally,https://github.com/elastic/rally,elastic/rally
esridump,https://github.com/openaddresses/pyesridump,openaddresses/pyesridump
essential-generators,https://github.com/shane-mason/essential-document-generator,shane-mason/essential-document-generator
essentialdb,https://github.com/shane-mason/essentialdb,shane-mason/essentialdb
et-micc,https://github.com/etijskens/et-micc,etijskens/et-micc
et-micc-build,https://github.com/etijskens/et-micc-build,etijskens/et-micc-build
etaprogress,https://github.com/Robpol86/etaprogress,Robpol86/etaprogress
etcd-tree,https://github.com/m-o-a-t/etcd-tree,m-o-a-t/etcd-tree
etcd3,https://github.com/kragniz/python-etcd3,kragniz/python-etcd3
etcpak,https://github.com/K0lb3/etcpak,K0lb3/etcpak
etebase,https://github.com/etesync/etebase-py,etesync/etebase-py
etelemetry,https://github.com/sensein/etelemetry-client,sensein/etelemetry-client
eth-abi,https://github.com/ethereum/eth-abi,ethereum/eth-abi
eth-account,https://github.com/ethereum/eth-account,ethereum/eth-account
eth-bloom,https://github.com/ethereum/eth-bloom,ethereum/eth-bloom
eth-brownie,https://github.com/eth-brownie/brownie,eth-brownie/brownie
eth-event,https://github.com/iamdefinitelyahuman/eth-event,iamdefinitelyahuman/eth-event
eth-hash,https://github.com/ethereum/eth-hash,ethereum/eth-hash
eth-keyfile,https://github.com/ethereum/eth-keyfile,ethereum/eth-keyfile
eth-keys,https://github.com/ethereum/eth-keys,ethereum/eth-keys
eth-rlp,https://github.com/ethereum/eth-rlp,ethereum/eth-rlp
eth-tester,https://github.com/ethereum/eth-tester,ethereum/eth-tester
eth-testrpc,https://github.com/pipermerriam/eth-testrpc,pipermerriam/eth-testrpc
eth-typing,https://github.com/ethereum/eth-typing,ethereum/eth-typing
eth-utils,https://github.com/ethereum/eth-utils,ethereum/eth-utils
ethereum,https://github.com/ethereum/pyethereum/,ethereum/pyethereum
ethpm,https://github.com/ethpm/py-ethpm,ethpm/py-ethpm
etl-converter-talenttech,https://github.com/severgroup-tt/topmind-commons/py/etl-converter,severgroup-tt/topmind-commons
etmtk,https://github.com/dagraham/etm-tk,dagraham/etm-tk
eulxml,https://github.com/emory-libraries/eulxml,emory-libraries/eulxml
eutils,https://github.com/biocommons/eutils,biocommons/eutils
evalys,https://github.com/oar-team/evalys,oar-team/evalys
evdev,https://github.com/gvalkov/python-evdev,gvalkov/python-evdev
eve-elastic,https://github.com/petrjasek/eve-elastic,petrjasek/eve-elastic
eve-sqlalchemy,https://github.com/pyeve/eve-sqlalchemy,pyeve/eve-sqlalchemy
event-tracking,https://github.com/edx/event-tracking,edx/event-tracking
eventbrite,https://github.com/eventbrite/eventbrite-sdk-python,eventbrite/eventbrite-sdk-python
eventemitter,https://github.com/asyncdef/eventemitter,asyncdef/eventemitter
eventkit,https://github.com/erdewit/eventkit,erdewit/eventkit
eventsourcing,https://github.com/pyeventsourcing/eventsourcing,pyeventsourcing/eventsourcing
everett,https://github.com/willkg/everett,willkg/everett
evergreen-py,https://github.com/evergreen-ci/evergreen.py,evergreen-ci/evergreen.py
evodag,https://github.com/mgraffg/EvoDAG,mgraffg/EvoDAG
evoflow,https://github.com/google/evoflow,google/evoflow
evohome-async,https://github.com/zxdavb/evohome-async,zxdavb/evohome-async
evomsa,https://github.com/ingeotec/EvoMSA,ingeotec/EvoMSA
ewstools,https://github.com/ThomasMBury/ewstools,ThomasMBury/ewstools
exabgp,https://github.com/Exa-Networks/exabgp,Exa-Networks/exabgp
exact-cover,https://github.com/jwg4/exact_cover,jwg4/exact_cover
exam,https://github.com/fluxx/exam,fluxx/exam
example-pkg-naturalett,https://github.com/apache/incubator-liminal,apache/incubator-liminal
excel,https://github.com/twz915/excel,twz915/excel
excel-to-dict,https://github.com/nixinxin/excel_to_dict,nixinxin/excel_to_dict
excel2json,https://github.com/malongge/exceltojson,malongge/exceltojson
excel2meta-interface,https://github.com/jacbeekers/excel2meta-interface,jacbeekers/excel2meta-interface
exceptiongenerator,https://github.com/Poketec/ExceptionGenerator,Poketec/ExceptionGenerator
exchange-calendars,https://github.com/gerrymanoim/exchange_calendars,gerrymanoim/exchange_calendars
exchangelib,https://github.com/ecederstrand/exchangelib,ecederstrand/exchangelib
excitertools,https://github.com/cjrh/excitertools,cjrh/excitertools
exec-helpers,https://github.com/python-useful-helpers/exec-helpers,python-useful-helpers/exec-helpers
executing,https://github.com/alexmojaki/executing,alexmojaki/executing
exhale,https://github.com/svenevs/exhale,svenevs/exhale
exifread,https://github.com/ianare/exif-py,ianare/exif-py
exitstatus,https://github.com/johnthagen/exitstatus,johnthagen/exitstatus
exodus-bundler,https://github.com/intoli/exodus,intoli/exodus
exotel,https://github.com/sarathsp06/exotel-py,sarathsp06/exotel-py
expan,https://github.com/zalando/expan,zalando/expan
expandvars,https://github.com/sayanarijit/expandvars,sayanarijit/expandvars
expects,https://github.com/jaimegildesagredo/expects,jaimegildesagredo/expects
expecttest,https://github.com/ezyang/ghstack,ezyang/ghstack
explainerdashboard,https://github.com/oegedijk/explainerdashboard,oegedijk/explainerdashboard
exponent-server-sdk,https://github.com/expo/exponent-server-sdk-python,expo/exponent-server-sdk-python
export-to-telegraph,https://github.com/gaoyunzhi/export_to_telegraph,gaoyunzhi/export_to_telegraph
expressintegrations,https://github.com/pypa/expressintegrations,pypa/expressintegrations
expression-parser,https://github.com/lhelwerd/expression-parser,lhelwerd/expression-parser
exrex,https://github.com/asciimoo/exrex,asciimoo/exrex
exscript,https://github.com/knipknap/exscript/,knipknap/exscript
extend-me,https://github.com/katyukha/extend-me,katyukha/extend-me
extended-networkx-tools,https://github.com/vonNiklasson/extended-networkx-tools,vonNiklasson/extended-networkx-tools
extension-helpers,https://github.com/astropy/astropy-helpers,astropy/astropy-helpers
extensionclass,https://github.com/zopefoundation/ExtensionClass,zopefoundation/ExtensionClass
extract-msg,https://github.com/TeamMsgExtractor/msg-extractor,TeamMsgExtractor/msg-extractor
extras,https://github.com/testing-cabal/extras,testing-cabal/extras
extras-mongoengine,https://github.com/MongoEngine/extras-mongoengine/,MongoEngine/extras-mongoengine
extrathick,https://github.com/FoleyDiver/extrathick,FoleyDiver/extrathick
extratools,https://github.com/chuanconggao/extratools,chuanconggao/extratools
extruct,https://github.com/scrapinghub/extruct,scrapinghub/extruct
eyecu-bumblebee,https://github.com/Eye-C-U/bumblebee/,Eye-C-U/bumblebee
ezdnac,https://github.com/johan-lahti/ezdnac,johan-lahti/ezdnac
ezenv,https://github.com/mixmastamyk/env,mixmastamyk/env
