project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/grpc-ecosystem/grpc-gateway, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 15635
github.com/xanzy/go-gitlab, Fully Reproducible, ['all'], [], 2046
github.com/olekukonko/tablewriter, Fully Reproducible, ['all'], [], 3778
github.com/tidwall/gjson, Fully Reproducible, ['all'], [], 11468
github.com/frankban/quicktest, Fully Reproducible, ['all'], [], 462
github.com/beevik/etree, Fully Reproducible, ['all'], [], 1082
github.com/minio/minio-go, Fully Reproducible, ['all'], [], 1968
github.com/alecthomas/chroma, Fully Reproducible, ['all'], [], 3835
github.com/hashicorp/go-plugin, Fully Reproducible, ['all'], [], 4420
github.com/willf/bitset, Fully Reproducible, ['all'], [], 1108
cloud.google.com/go/bigquery, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3326
go.etcd.io/etcd/raft/v3, Fully Reproducible, ['all'], [], 43902
github.com/bmatcuk/doublestar, Fully Reproducible, ['all'], [], 365
github.com/beorn7/perks, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 84
github.com/go-chi/chi, Fully Reproducible, ['all'], [], 14455
github.com/goreleaser/goreleaser, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 11841
github.com/emirpasic/gods, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 13747
github.com/rubenv/sql-migrate, Fully Reproducible, ['all'], [], 2866
github.com/aws/aws-sdk-go-v2/service/sts, Fully Reproducible, ['all'], [], 2053
github.com/alecthomas/kingpin, Fully Reproducible, ['all'], [], 3304
github.com/cli/cli, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 32745
github.com/hashicorp/serf, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5536
github.com/segmentio/ksuid, Fully Reproducible, ['all'], [], 4147
github.com/cheggaaa/pb, Fully Reproducible, ['all'], [], 3459
github.com/boombuler/barcode, Fully Reproducible, ['all'], [], 1262
github.com/envoyproxy/protoc-gen-validate, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 3324
github.com/ugorji/go/codec, Fully Reproducible, ['all'], [], 1750
github.com/mitchellh/cli, Fully Reproducible, ['all'], [], 1604
github.com/jmoiron/sqlx, Fully Reproducible, ['all'], [], 13675
github.com/montanaflynn/stats, Fully Reproducible, ['all'], [], 2773
