name,gh_version,pypi_version,status,diffoscope,repo_version,error
pycaret-nightly,Failed,Failed,Failed,Error
file-read-backwards,3.0.0,3.0.0,Success,Diff
infi-hbaapi,Failed,Failed,Failed,Error
libmozdata,Failed,Failed,Failed,Error
keyring,Failed,Failed,Failed,Error
mypy-boto3-serverlessrepo,Failed,Failed,Failed,Error
htsprophet,0.1.1,0.1.0,Success,Diff
genshinstats,1.4.11.3,1.4.11.3,Success,Diff
pytest-cov,4.1.0,4.1.0,Success,Diff
divik,Failed,Failed,Failed,Error
django-pgjson,Failed,Failed,Failed,Error
tencentcloud-sdk-python-ssm,Failed,Failed,Failed,Error
hmf,Failed,Failed,Failed,Error
mypy-boto3-workmailmessageflow,Failed,Failed,Failed,Error
tqdm-conan,Failed,Failed,Failed,Error
aio-databases,Failed,Failed,Failed,Error
growattserver,1.4.0,1.4.0,Success,Diff
dbnd-spark,Failed,Failed,Failed,Error
click-default-group,Failed,Failed,Failed,Error
vstutils,Failed,Failed,Failed,Error
dalle-pytorch,Failed,Failed,Failed,Error
bentley-ottmann,Failed,Failed,Failed,Error
image,Failed,Failed,Failed,Error
google-cloud-dataproc,Failed,Failed,Failed,Error
animec,0.4.2,0.4.2,Success,Diff
ons-ras-common,0.3.0,0.1.58,Success,Diff
tetgen,Failed,Failed,Failed,Error
aws-sam-cli,Failed,Failed,Failed,Error
pygments-ccl-lexer,Failed,Failed,Failed,Error
claripy,Failed,Failed,Failed,Error
blindspin,2.0.1,2.0.1,Success,Diff
nested-lookup,0.2.23,0.2.25,Success,Diff
python-google-spreadsheet,2.0.0,2.0.0,Success,Diff
keras-rectified-adam,Failed,Failed,Failed,Error
bgmi,Failed,Failed,Failed,Error
azure-iot-hub,Failed,Failed,Failed,Error
squad,Failed,Failed,Failed,Error
pdflatex,Failed,Failed,Failed,Error
simple-parsing,Failed,Failed,Failed,Error
bezier,Failed,Failed,Failed,Error
flask-env,2.0.0,2.0.0,Success,Diff
jupyterthemes,Failed,Failed,Failed,Error
pyhash,0.9.4,0.9.3,Success,Diff
optimuspyspark,Failed,Failed,Failed,Error
presto-python-client,Failed,Failed,Failed,Error
yolk3k,Failed,Failed,Failed,Error
applicationinsights,Failed,Failed,Failed,Error
django-is-core,Failed,Failed,Failed,Error
poros,0.0.71,0.0.71,Success,Diff
qidataprocessing,Failed,Failed,Failed,Error
mypy-boto3-groundstation,Failed,Failed,Failed,Error
routeros-api,0.17.1.0,0.17.0,Success,Diff
